split,generator,synthetic_file,source,classifier,size_multiplier,n_train_rows,n_synthetic_available,pcd,js,ws,accuracy,auc,sensitivity,specificity,precision,f1,brier
0,COPULA,12.csv,synthetic,mlp,2.0,1228,42300,1.5702740055164763,0.4186969234701191,0.13200702306047,0.6168831168831169,0.562037037037037,0.1111111111111111,0.89,0.35294117647058826,0.16901408450704225,0.2907125471292357
0,COPULA,12.csv,synthetic,rfc,2.0,1228,42300,1.5702740055164763,0.4186969234701191,0.13200702306047,0.6558441558441559,0.757962962962963,0.8148148148148148,0.57,0.5057471264367817,0.624113475177305,0.22864379708785798
0,COPULA,12.csv,synthetic,mlp,3.0,1842,42300,1.5702740055164763,0.4186969234701191,0.13200702306047,0.6493506493506493,0.5648148148148148,0.12962962962962962,0.93,0.5,0.20588235294117646,0.286508785411365
0,COPULA,12.csv,synthetic,rfc,3.0,1842,42300,1.5702740055164763,0.4186969234701191,0.13200702306047,0.6363636363636364,0.7551851851851852,0.7592592592592593,0.57,0.4880952380952381,0.5942028985507246,0.22307128327631823
0,COPULA,13.csv,synthetic,mlp,1.0,614,42300,1.3192414485021349,0.4159862416650164,0.1375673640768971,0.6493506493506493,0.4872222222222222,0.0,1.0,0.0,0.0,0.3254788164696849
0,COPULA,13.csv,synthetic,rfc,1.0,614,42300,1.3192414485021349,0.4159862416650164,0.1375673640768971,0.7662337662337663,0.7849999999999999,0.6481481481481481,0.83,0.6730769230769231,0.660377358490566,0.18120182630347445
0,COPULA,13.csv,synthetic,mlp,2.0,1228,42300,1.3192414485021349,0.4159862416650164,0.1375673640768971,0.6363636363636364,0.4755555555555556,0.0,0.98,0.0,0.0,0.32351957185611063
0,COPULA,13.csv,synthetic,rfc,2.0,1228,42300,1.3192414485021349,0.4159862416650164,0.1375673640768971,0.7532467532467533,0.7883333333333333,0.6851851851851852,0.79,0.6379310344827587,0.6607142857142857,0.18075452160696276
0,COPULA,13.csv,synthetic,mlp,3.0,1842,42300,1.3192414485021349,0.4159862416650164,0.1375673640768971,0.6428571428571429,0.5451851851851852,0.037037037037037035,0.97,0.4,0.06779661016949153,0.30998848828563647
0,COPULA,13.csv,synthetic,rfc,3.0,1842,42300,1.3192414485021349,0.4159862416650164,0.1375673640768971,0.6883116883116883,0.7555555555555555,0.5555555555555556,0.76,0.5555555555555556,0.5555555555555556,0.19295340344681142
0,COPULA,14.csv,synthetic,mlp,1.0,614,42300,0.8567511587695962,0.4324527995369571,0.1189494874382554,0.6428571428571429,0.5544444444444444,0.12962962962962962,0.92,0.4666666666666667,0.2028985507246377,0.2818169052263064
0,COPULA,14.csv,synthetic,rfc,1.0,614,42300,0.8567511587695962,0.4324527995369571,0.1189494874382554,0.7272727272727273,0.7927777777777778,0.6666666666666666,0.76,0.6,0.631578947368421,0.18015364802736183
0,COPULA,14.csv,synthetic,mlp,2.0,1228,42300,0.8567511587695962,0.4324527995369571,0.1189494874382554,0.6753246753246753,0.6037037037037036,0.25925925925925924,0.9,0.5833333333333334,0.358974358974359,0.25002618487533956
0,COPULA,14.csv,synthetic,rfc,2.0,1228,42300,0.8567511587695962,0.4324527995369571,0.1189494874382554,0.7142857142857143,0.7907407407407407,0.6481481481481481,0.75,0.5833333333333334,0.6140350877192983,0.18186563906969286
0,COPULA,14.csv,synthetic,mlp,3.0,1842,42300,0.8567511587695962,0.4324527995369571,0.1189494874382554,0.6493506493506493,0.545,0.1111111111111111,0.94,0.5,0.18181818181818182,0.2748872280462564
0,COPULA,14.csv,synthetic,rfc,3.0,1842,42300,0.8567511587695962,0.4324527995369571,0.1189494874382554,0.6883116883116883,0.7759259259259259,0.7222222222222222,0.67,0.5416666666666666,0.6190476190476191,0.19522472866668727
0,COPULA,15.csv,synthetic,lr,1.0,614,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.5454545454545454,0.5878703703703705,0.6111111111111112,0.51,0.4024390243902439,0.4852941176470588,0.42290917754681
0,COPULA,15.csv,synthetic,mlp,1.0,614,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.5454545454545454,0.586851851851852,0.6296296296296297,0.5,0.40476190476190477,0.4927536231884058,0.4193530681825799
0,COPULA,15.csv,synthetic,xgb,1.0,614,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.6688311688311688,0.7681481481481481,0.7777777777777778,0.61,0.5185185185185185,0.6222222222222222,0.2258463203907013
0,COPULA,15.csv,synthetic,rfc,1.0,614,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.6623376623376623,0.7518518518518519,0.7592592592592593,0.61,0.5125,0.6119402985074627,0.22351958824195767
0,COPULA,15.csv,synthetic,lr,2.0,1228,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.5584415584415584,0.6144444444444445,0.6296296296296297,0.52,0.4146341463414634,0.5,0.38809072020151963
0,COPULA,15.csv,synthetic,mlp,2.0,1228,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.6428571428571429,0.615925925925926,0.3333333333333333,0.81,0.4864864864864865,0.3956043956043956,0.2452732960464149
0,COPULA,15.csv,synthetic,xgb,2.0,1228,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.6753246753246753,0.7590740740740741,0.7037037037037037,0.66,0.5277777777777778,0.6031746031746031,0.2134396731853485
0,COPULA,15.csv,synthetic,rfc,2.0,1228,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.6753246753246753,0.7394444444444445,0.7037037037037037,0.66,0.5277777777777778,0.6031746031746031,0.21236956535084228
0,COPULA,15.csv,synthetic,lr,3.0,1842,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.5584415584415584,0.5943518518518519,0.6111111111111112,0.53,0.4125,0.4925373134328358,0.4125350904228733
0,COPULA,15.csv,synthetic,mlp,3.0,1842,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.5584415584415584,0.6003703703703704,0.6296296296296297,0.52,0.4146341463414634,0.5,0.39855919267503304
0,COPULA,15.csv,synthetic,xgb,3.0,1842,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.7077922077922078,0.7694444444444445,0.7592592592592593,0.68,0.5616438356164384,0.6456692913385826,0.21526247262954712
0,COPULA,15.csv,synthetic,rfc,3.0,1842,42300,1.3046018333532647,0.434361999242888,0.1067719716316122,0.7337662337662337,0.76,0.7592592592592593,0.72,0.5942028985507246,0.6666666666666666,0.20705895903909727
0,COPULA,16.csv,synthetic,lr,1.0,614,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.5584415584415584,0.5398148148148149,0.37037037037037035,0.66,0.37037037037037035,0.37037037037037035,0.33224601063590814
