generator,classifier,size_multiplier,n_rows,auc_mean,auc_std,accuracy_mean,sensitivity_mean,specificity_mean,precision_mean,f1_mean,brier_mean,pcd_mean,ws_mean,js_mean,dcr_mean,dcr_min,duplicate_rate_mean
GAUSSIAN_EMPIRICAL,rfc,1,15,0.9113997113997114,0.0308634531163805,0.825136612021858,0.8023809523809523,0.8444444444444446,0.8184525067543559,0.8078090606365794,0.1209309623364916,0.0824481269161926,0.1300908320704655,0.0010525970369073,2.102612425158821,0.3078561220285712,0.0
GAUSSIAN_EMPIRICAL,rfc,2,15,0.9225829725829726,0.031774363774648,0.8360655737704918,0.8095238095238095,0.8585858585858586,0.8321192368874697,0.8179995968457757,0.1126827751383991,0.0750165366760607,0.113730264812895,0.0004900212917887,2.0970888465927406,0.2543189210232817,0.0
GAUSSIAN_EMPIRICAL,rfc,3,15,0.9181818181818182,0.0295448032621148,0.8327868852459016,0.8285714285714286,0.8363636363636363,0.8138442753490401,0.8185600491451321,0.116204659642539,0.0710281464275976,0.1087160144330117,0.0003011763568929,2.1012329364270026,0.1573144595498064,0.0
GAUSSIAN_EMPIRICAL,xgb,1,15,0.9046897546897548,0.0315380949849895,0.8109289617486338,0.7880952380952381,0.8303030303030303,0.8013751793883626,0.7922315687630874,0.1377301096916198,0.0824481269161926,0.1300908320704655,0.0010525970369073,2.102612425158821,0.3078561220285712,0.0
GAUSSIAN_EMPIRICAL,xgb,2,15,0.922871572871573,0.0279848888994785,0.8316939890710382,0.7928571428571428,0.8646464646464646,0.8347550337850671,0.8106256514802054,0.1228014489014943,0.0750165366760607,0.113730264812895,0.0004900212917887,2.0970888465927406,0.2543189210232817,0.0
GAUSSIAN_EMPIRICAL,xgb,3,15,0.9202741702741704,0.0347542165467926,0.8404371584699454,0.819047619047619,0.8585858585858586,0.8326608959971512,0.8226716160846196,0.1225980470577875,0.0710281464275976,0.1087160144330117,0.0003011763568929,2.1012329364270026,0.1573144595498064,0.0
COND_DDPM,lr,1,15,0.906998556998557,0.0368021446731378,0.8262295081967214,0.761904761904762,0.8808080808080808,0.846439673103841,0.8000836773098171,0.1227778654808404,0.0779824469534195,0.1811007638076775,0.0031669377843189,2.0410418113072715,0.2532582879066467,0.0
COND_DDPM,lr,2,15,0.921067821067821,0.027783867700715,0.8284153005464481,0.7642857142857143,0.8828282828282829,0.8508053844105555,0.8009776160798684,0.115081848962703,0.068398778135882,0.1657628745466531,0.0028575363370876,2.038490160306295,0.2470801323652267,0.0
COND_DDPM,lr,3,15,0.9247474747474748,0.0283130105593292,0.8437158469945356,0.7666666666666667,0.9090909090909092,0.8792705394259617,0.816865068300082,0.111975560734317,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
COND_DDPM,mlp,1,15,0.8188311688311688,0.1298210327726637,0.7387978142076503,0.6238095238095238,0.8363636363636363,0.7649985704114902,0.6681543878495912,0.1851402962424278,0.0779824469534195,0.1811007638076775,0.0031669377843189,2.0410418113072715,0.2532582879066467,0.0
COND_DDPM,mlp,2,15,0.9056998556998558,0.0375457277737447,0.8087431693989071,0.7095238095238094,0.892929292929293,0.8535886946276487,0.7703961516585175,0.1469060102883928,0.068398778135882,0.1657628745466531,0.0028575363370876,2.038490160306295,0.2470801323652267,0.0
COND_DDPM,mlp,3,15,0.9126262626262628,0.0334860514086219,0.819672131147541,0.7238095238095238,0.901010101010101,0.86386945347639,0.782818285158308,0.1363518545721999,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
COND_DDPM,rfc,1,15,0.8971139971139972,0.034065663578624,0.8087431693989071,0.7428571428571428,0.8646464646464647,0.8256257770585607,0.7801803575832605,0.1399177909891154,0.0779824469534195,0.1811007638076775,0.0031669377843189,2.0410418113072715,0.2532582879066467,0.0
COND_DDPM,rfc,2,15,0.8994949494949495,0.0322422265681128,0.8032786885245902,0.7666666666666667,0.8343434343434344,0.8032483283778225,0.7812271951824574,0.1365422332287065,0.068398778135882,0.1657628745466531,0.0028575363370876,2.038490160306295,0.2470801323652267,0.0
COND_DDPM,rfc,3,15,0.8985569985569986,0.0377204630642245,0.8043715846994535,0.7404761904761905,0.8585858585858586,0.8225082204434897,0.7758158724376466,0.1345922176793434,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
COND_DDPM,xgb,1,15,0.8631313131313132,0.0301920250909216,0.7814207650273224,0.7119047619047619,0.8404040404040404,0.7955522238916348,0.7490486363647366,0.1553533072272936,0.0779824469534195,0.1811007638076775,0.0031669377843189,2.0410418113072715,0.2532582879066467,0.0
COND_DDPM,xgb,2,15,0.8879509379509379,0.0379336705208709,0.8120218579234972,0.7666666666666667,0.8505050505050505,0.8156600899100899,0.7867792626981523,0.1358570223053296,0.068398778135882,0.1657628745466531,0.0028575363370876,2.038490160306295,0.2470801323652267,0.0
COND_DDPM,xgb,3,15,0.8932900432900434,0.0425371291001046,0.8153005464480875,0.7309523809523809,0.8868686868686868,0.8516687852044266,0.7815726911687529,0.1303639560937881,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
EMPIRICAL_BOOTSTRAP,lr,1,15,0.914069264069264,0.0255904735897132,0.8131147540983606,0.7976190476190476,0.8262626262626263,0.7978050795144789,0.796175482071564,0.122244394694638,0.0480068493357716,0.07177545500468,0.0008167907053972,7.026998773517261e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,lr,2,15,0.9212121212121211,0.0254771060186717,0.8404371584699454,0.8142857142857143,0.8626262626262626,0.8345373808822085,0.823343568202658,0.1138316041593512,0.0341132879907982,0.0532722495471771,0.0004633547103742,7.47349812244251e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,lr,3,15,0.9207070707070708,0.0261296700651438,0.8295081967213115,0.8047619047619048,0.8505050505050505,0.8228041824959093,0.811923669311554,0.1135464534861675,0.0268926499914646,0.0441158580284471,0.000298787431022,7.3364563753493405e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,mlp,1,15,0.8575757575757575,0.0625540055593515,0.7715846994535519,0.719047619047619,0.8161616161616162,0.7762394510498766,0.742475442190887,0.1799619164306232,0.0480068493357716,0.07177545500468,0.0008167907053972,7.026998773517261e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,mlp,2,15,0.9015873015873016,0.0351201176250036,0.8120218579234972,0.7785714285714286,0.8404040404040404,0.8061353206180792,0.7898325805145777,0.1338366494912903,0.0341132879907982,0.0532722495471771,0.0004633547103742,7.47349812244251e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,mlp,3,15,0.9116883116883118,0.0346750081246065,0.8295081967213115,0.8023809523809523,0.8525252525252526,0.8251962696732812,0.8109090884619817,0.1294252782887008,0.0268926499914646,0.0441158580284471,0.000298787431022,7.3364563753493405e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,rfc,1,15,0.8998556998556998,0.0345446356466375,0.8098360655737705,0.7738095238095238,0.8404040404040404,0.8083501987813582,0.7887553569604165,0.128783012774678,0.0480068493357716,0.07177545500468,0.0008167907053972,7.026998773517261e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,rfc,2,15,0.9050505050505052,0.0253066534179661,0.8109289617486338,0.7952380952380953,0.8242424242424242,0.793222701734196,0.7930078213130183,0.1247776192451582,0.0341132879907982,0.0532722495471771,0.0004633547103742,7.47349812244251e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,rfc,3,15,0.8999278499278499,0.0279801052258949,0.8087431693989071,0.7880952380952381,0.8262626262626263,0.7960387146498566,0.7895761212311159,0.126874997011414,0.0268926499914646,0.0441158580284471,0.000298787431022,7.3364563753493405e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,xgb,1,15,0.8857142857142858,0.0399843287187357,0.8120218579234972,0.7738095238095238,0.8444444444444444,0.8079264319814045,0.7895657835400327,0.1416194116075833,0.0480068493357716,0.07177545500468,0.0008167907053972,7.026998773517261e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,xgb,2,15,0.8979076479076479,0.0408206209518488,0.8349726775956284,0.7928571428571428,0.8707070707070707,0.8387614179882763,0.8132604662316157,0.132025721669197,0.0341132879907982,0.0532722495471771,0.0004633547103742,7.47349812244251e-09,0.0,1.0
EMPIRICAL_BOOTSTRAP,xgb,3,15,0.8932900432900434,0.0450251384163916,0.8262295081967214,0.7714285714285715,0.8727272727272728,0.8394275874026513,0.7996815253272839,0.1338036239147186,0.0268926499914646,0.0441158580284471,0.000298787431022,7.3364563753493405e-09,0.0,1.0
