dataset,generator,size_multiplier,n_splits,n_releases,class_conditional_fallback_count_mean,class_conditional_fallback_count_std,unconditional_attack_auc_mean,unconditional_attack_auc_std,unconditional_distinguishability_auc_mean,unconditional_distinguishability_auc_std,unconditional_distinguishability_advantage_mean,unconditional_distinguishability_advantage_std,unconditional_tpr_at_fpr_01_mean,unconditional_tpr_at_fpr_01_std,unconditional_tpr_at_fpr_05_mean,unconditional_tpr_at_fpr_05_std,unconditional_tpr_at_fpr_10_mean,unconditional_tpr_at_fpr_10_std,unconditional_member_distance_mean_mean,unconditional_member_distance_std_std,unconditional_member_distance_median_mean,unconditional_member_distance_median_std,unconditional_nonmember_distance_mean_mean,unconditional_nonmember_distance_std_std,unconditional_nonmember_distance_median_mean,unconditional_nonmember_distance_median_std,unconditional_distance_gap_nonmember_minus_member_mean,unconditional_distance_gap_nonmember_minus_member_std,unconditional_member_exact_match_rate_mean,unconditional_member_exact_match_rate_std,unconditional_nonmember_exact_match_rate_mean,unconditional_nonmember_exact_match_rate_std,class_conditional_attack_auc_mean,class_conditional_attack_auc_std,class_conditional_distinguishability_auc_mean,class_conditional_distinguishability_auc_std,class_conditional_distinguishability_advantage_mean,class_conditional_distinguishability_advantage_std,class_conditional_tpr_at_fpr_01_mean,class_conditional_tpr_at_fpr_01_std,class_conditional_tpr_at_fpr_05_mean,class_conditional_tpr_at_fpr_05_std,class_conditional_tpr_at_fpr_10_mean,class_conditional_tpr_at_fpr_10_std,class_conditional_member_distance_mean_mean,class_conditional_member_distance_std_std,class_conditional_member_distance_median_mean,class_conditional_member_distance_median_std,class_conditional_nonmember_distance_mean_mean,class_conditional_nonmember_distance_std_std,class_conditional_nonmember_distance_median_mean,class_conditional_nonmember_distance_median_std,class_conditional_distance_gap_nonmember_minus_member_mean,class_conditional_distance_gap_nonmember_minus_member_std,class_conditional_member_exact_match_rate_mean,class_conditional_member_exact_match_rate_std,class_conditional_nonmember_exact_match_rate_mean,class_conditional_nonmember_exact_match_rate_std,class_conditional_attack_auc_ci95_low,class_conditional_attack_auc_ci95_high,risk_interpretation
Cleveland,COND_DDPM,2,5,15,0.0,0.0,0.5625727850936127,0.05098813502814431,0.5625907014243483,0.05096930018763266,0.12518140284869658,0.10193860037526539,0.017486338797814204,0.015163319044274981,0.07540983606557378,0.03399416615299627,0.1278688524590164,0.053064583109552844,1.8643208447918589,0.07576711793906667,1.8288992799829724,0.08207103087706841,1.9817449652546208,0.04618619186416948,1.9329625288270613,0.08390738552344941,0.11742412046276218,0.08930795913789753,0.0,0.0,0.0,0.0,0.55187673564454,0.04988272962943301,0.5615336379109558,0.038605099063637766,0.12306727582191161,0.07721019812727549,0.015300546448087432,0.012460933607640853,0.060109289617486336,0.02865597945820086,0.1377049180327869,0.05160970034149768,1.9725751992409748,0.0751163265096584,1.9417645333465832,0.07928457530405625,2.0723326679873004,0.04025348053974632,2.047261613215751,0.050546863433378456,0.09975746874632543,0.0882974146003117,0.0,0.0,0.0,0.0,0.4899391461315408,0.6138143251575392,weak signal
Cleveland,COND_DDPM,3,5,15,0.0,0.0,0.5741646510794589,0.0451593546559221,0.5763683597599212,0.04306609467544954,0.15273671951984233,0.08613218935089914,0.028415300546448093,0.016574591134538907,0.0819672131147541,0.034125672122395624,0.14426229508196722,0.05956033483470476,1.7591323185080152,0.0597081966592785,1.7367696658004097,0.058147419430472254,1.8997815665028448,0.0371429490194704,1.8701398649678764,0.058413559482553064,0.14064924799482942,0.06973678022793195,0.0,0.0,0.0,0.0,0.5651706530502554,0.04465319713309249,0.5658693899489384,0.043629732583306505,0.1317387798978769,0.08725946516661291,0.027322404371584695,0.01393174730489832,0.07868852459016393,0.03403805792873756,0.13989071038251366,0.05673594471002146,1.8475563875385077,0.0692288506135313,1.8226211757464648,0.06855559587937327,1.9756094811267768,0.033246645115796135,1.9577228436373886,0.06792729470613675,0.12805309358826913,0.06807844667892593,0.0,0.0,0.0,0.0,0.5097263857653989,0.6206149203351119,weak signal
Cleveland,EMPIRICAL_BOOTSTRAP,1,5,15,0.0,0.0,0.8290423721221893,0.016113321755833538,0.8290423721221893,0.016113321755833538,0.6580847442443787,0.032226643511667,0.6404371584699453,0.02770227728007995,0.6666666666666666,0.02219682624217478,0.6885245901639345,0.022530631833976304,0.7672649590055407,0.05561703122674904,3.973642985026042e-09,8.885335832833408e-09,2.1785075436922474,0.026306090519788484,2.179008317856525,0.06081615468413343,1.4112425846867072,0.04775759872475376,0.566120218579235,0.04172373588813349,0.0,0.0,0.8224849950730091,0.02100633431308448,0.8224849950730091,0.02100633431308448,0.644969990146018,0.04201266862616894,0.6404371584699453,0.02770227728007995,0.6666666666666666,0.02007778477691131,0.6863387978142077,0.020299645487438997,0.8054807331917679,0.0671212316844397,3.973642985026042e-09,8.885335832833408e-09,2.2513453917360753,0.018281426449589064,2.2339311403915865,0.08641613287255046,1.4458646585443076,0.06190787626440274,0.5683060109289617,0.042150952515140734,0.0,0.0,0.7964021860222197,0.8485678041237985,strong signal
Cleveland,EMPIRICAL_BOOTSTRAP,2,5,15,0.0,0.0,0.9304667204156587,0.011273843107393648,0.9304667204156587,0.011273843107393648,0.8609334408313177,0.022547686214787227,0.853551912568306,0.027157975168938062,0.8568306010928962,0.02715797516893806,0.8721311475409836,0.017958116639513633,0.2989245418557046,0.05080690170011215,0.0,0.0,2.0749359348524115,0.030257758266214324,2.0841274497617954,0.07481916257559698,1.776011392996707,0.025899538469199707,0.7584699453551913,0.039291099480322535,0.0,0.0,0.9269909522529785,0.011659904820927007,0.9269909522529785,0.011659904820927007,0.8539819045059571,0.023319809641854067,0.853551912568306,0.027157975168938062,0.8557377049180328,0.02775612043541045,0.8710382513661201,0.019550321114752283,0.317252446441696,0.05007325168763681,0.0,0.0,2.1511575292538274,0.012938969188666511,2.1620725071557314,0.07830453489982331,1.8339050828121315,0.04153961588917845,0.7584699453551912,0.03813409032211562,0.0,0.0,0.9125132682143509,0.941468636291606,strong signal
Cleveland,EMPIRICAL_BOOTSTRAP,3,5,15,0.0,0.0,0.9774791722655201,0.016033939893120065,0.9774791722655201,0.016033939893120065,0.95495834453104,0.03206787978624014,0.9540983606557377,0.024006429110916723,0.9540983606557377,0.024006429110916723,0.9595628415300548,0.024006429110916713,0.09428927425966166,0.05377359219819909,0.0,0.0,2.0566443770249285,0.016693635749065523,2.052726682039393,0.08479212563207389,1.9623551027652675,0.04396160292029481,0.8437158469945356,0.06426285267963733,0.0,0.0,0.9767446027053659,0.014744361913722987,0.9767446027053659,0.014744361913722987,0.9534892054107319,0.029488723827446044,0.9540983606557377,0.024006429110916723,0.9540983606557377,0.024006429110916723,0.9595628415300548,0.024006429110916713,0.09830181631144481,0.053239809568818006,0.0,0.0,2.1318353051308763,0.009366363746051223,2.151339750283065,0.07244284275385547,2.0335334888194314,0.05443487799866983,0.8437158469945356,0.058421408790837584,0.0,0.0,0.9584370593406093,0.9950521460701225,strong signal
Cleveland,GAUSSIAN_EMPIRICAL,1,5,15,0.0,0.0,0.5207381528263012,0.06209604835348264,0.556069157036639,0.029400024546705046,0.11213831407327779,0.05880004909341012,0.008743169398907104,0.011331388717665421,0.05245901639344262,0.009926722472450794,0.12021857923497267,0.038639714818937014,2.1074184155342355,0.0673181183645383,2.1029758268854493,0.1000507915887728,2.162393879991103,0.0254459986019534,2.139786127535056,0.04840834829600759,0.05497546445686754,0.07669161495599151,0.0,0.0,0.0,0.0,0.5065125862223416,0.05821354706823842,0.547487234614351,0.02662765494441129,0.09497446922870198,0.053255309888822606,0.007650273224043716,0.009143825426601918,0.054644808743169404,0.016842661210297746,0.1180327868852459,0.04466189451738262,2.208183721681206,0.07698756803127633,2.202760227304572,0.08962250358925723,2.2356314033640707,0.01876118325256936,2.2385906195797487,0.05370790051812293,0.027447681682864884,0.08724385349989572,0.0,0.0,0.0,0.0,0.4342309206199697,0.5787942518247136,no or very weak signal
Cleveland,GAUSSIAN_EMPIRICAL,2,5,15,0.0,0.0,0.5393890531219206,0.05391403190526069,0.5543491892860343,0.04003615473079467,0.10869837857206843,0.08007230946158937,0.022950819672131147,0.010511138831514397,0.08306010928961748,0.024253924613302894,0.13442622950819674,0.0637964978041367,1.9219752379802586,0.07007333652658067,1.8939996391326552,0.08911332204436113,2.007557343171226,0.025497373930017858,1.9902003992776662,0.06737181662591937,0.0855821051909675,0.07266635846620471,0.0,0.0,0.0,0.0,0.5170115560333243,0.0544601420742824,0.5443160440741737,0.029878966521379845,0.0886320881483472,0.059757933042759705,0.019672131147540982,0.006230466803820427,0.07868852459016393,0.021720881873608516,0.13005464480874318,0.05890497476813931,2.022051025131862,0.08081283346870148,1.992801905602955,0.12488510284575499,2.0737231032603276,0.029853889995376408,2.043535095318866,0.06764634393008405,0.05167207812846545,0.08912746755787596,0.0,0.0,0.0,0.0,0.44939035828262575,0.5846327537840228,no or very weak signal
Cleveland,GAUSSIAN_EMPIRICAL,3,5,15,0.0,0.0,0.5322762698199409,0.06182014927237192,0.5580937024097465,0.033917748263677966,0.11618740481949297,0.06783549652735589,0.006557377049180328,0.005986038879837882,0.06775956284153005,0.026658603098689542,0.1180327868852459,0.054998853071414784,1.8445147087132916,0.05588027600018562,1.8153907964127682,0.051613268352961844,1.9110627347328513,0.03198552102863348,1.885402202110725,0.07323853103901293,0.06654802601955982,0.08146743169038072,0.0,0.0,0.0,0.0,0.5143061900922692,0.05925805738864028,0.549529696318194,0.026473811351124074,0.09905939263638804,0.05294762270224817,0.004371584699453552,0.007124811371806174,0.0633879781420765,0.03381802939183782,0.12349726775956285,0.05943486527291247,1.9475200132085981,0.06994700954481478,1.9276581963520307,0.09137146603281757,1.987400427666709,0.032777990095894334,1.9763746132591336,0.0591139576630516,0.039880414458111184,0.09528255765770584,0.0,0.0,0.0,0.0,0.440727593629302,0.5878847865552363,no or very weak signal
PIMA,COPULA,1,3,60,0.0,0.0,0.5090930173722381,0.050698002877013364,0.5374297239556981,0.0260357339003628,0.07485944791139595,0.05207146780072559,0.0158008658008658,0.0029460297811290466,0.056493506493506485,0.018515035622575653,0.10335497835497835,0.03271389216607046,2.590601608748384,0.12948816281084125,2.34792841824812,0.1366712311150807,2.6736912787281093,0.1134500331099803,2.398823616729054,0.15493899185744497,0.08308966997972583,0.2107487640183606,0.0,0.0,0.0,0.0,0.5101872153820205,0.050606035002138,0.5369483330522291,0.027289724177636487,0.07389666610445832,0.0545794483552729,0.01785714285714286,0.005906949804759822,0.05735930735930736,0.0185671520520394,0.10562770562770563,0.028520344927327062,2.677800778713806,0.12980418281713793,2.4242864840190292,0.14450823517529937,2.76571003479353,0.10100737849187946,2.4861888417929805,0.169630306526552,0.08790925607972429,0.20977859660368373,0.0,0.0,0.0,0.0,0.3844748553910523,0.6358995753729887,no or very weak signal
PIMA,COPULA,2,3,60,0.0,0.0,0.509161185135211,0.04801962412101251,0.5354584809130264,0.025059248303555035,0.07091696182605274,0.050118496607110055,0.015151515151515152,0.007204086251360441,0.055519480519480524,0.014610389610389608,0.10476190476190476,0.02409680095044624,2.497998104484109,0.11867976493237299,2.264319579620023,0.12513445822676794,2.578697934484968,0.12152326350625497,2.3029274395593395,0.1562180579124638,0.08069983000085933,0.2047706420022782,0.0,0.0,0.0,0.0,0.5092145949288805,0.04868572862349513,0.53571990779783,0.02561509691432723,0.07143981559565978,0.051230193828654486,0.01471861471861472,0.006943296507508849,0.05313852813852813,0.014320108144608741,0.10465367965367965,0.023059568278942722,2.5743368164885876,0.11737137642621312,2.322813233814769,0.13238592899120652,2.6571049097406925,0.11349110493884752,2.3842905215768577,0.15470035046361452,0.08276809325210481,0.20694039858548685,0.0,0.0,0.0,0.0,0.38827254043121384,0.6301566494265473,no or very weak signal
PIMA,COPULA,3,3,60,0.0,0.0,0.5049467307584191,0.04955213037851927,0.5376925563613876,0.021237879028501546,0.07538511272277508,0.04247575805700309,0.01525974025974026,0.006802703519401612,0.05411255411255411,0.017306545028260324,0.09945887445887447,0.021959031808763765,2.452680609204845,0.12061984463871823,2.229025850612057,0.11684468022841522,2.5221943834673763,0.13886459196350523,2.2325903844464587,0.17581254604549285,0.06951377426253101,0.21234198343214544,0.0,0.0,0.0,0.0,0.5066600607185022,0.04780671130513645,0.5361422668240851,0.022138134962753988,0.07228453364817002,0.04427626992550808,0.01699134199134199,0.007145316381058037,0.055519480519480524,0.01295043550336307,0.10378787878787878,0.024950054116720435,2.520677754324678,0.1192305188195806,2.2822514583799514,0.1261323395541436,2.59848750808329,0.12494495413428507,2.3309139446711953,0.16432662507234944,0.07780975375861218,0.20743446570261084,0.0,0.0,0.0,0.0,0.38790160629065196,0.6254185151463525,no or very weak signal
PIMA,EMPIRICAL_BOOTSTRAP,1,3,9,0.0,0.0,0.8254671014411273,0.011633063717050099,0.8254671014411273,0.011633063717050099,0.6509342028822548,0.023266127434100156,0.6356421356421357,0.02189609077271793,0.6544011544011545,0.030788727696034482,0.6753246753246752,0.015608447079930622,0.5296742840413167,0.04293113716987923,0.0,0.0,1.4958312998337038,0.043626249187874236,1.341636410668887,0.04199833814701603,0.9661570157923873,0.009798782120363534,0.5505050505050505,0.018408875645271366,0.0,0.0,0.8253218642829032,0.018982468891750075,0.8253218642829032,0.018982468891750075,0.6506437285658063,0.037964937783500095,0.6349206349206349,0.02499351814673703,0.6493506493506493,0.03068711445618581,0.6702741702741702,0.011107362423045174,0.5782819848240943,0.06288441626222237,5.007227375626446e-08,1.651055092172364e-08,1.6657223969074524,0.028452391237776795,1.4783682932014524,0.08544382969586761,1.0874404120833583,0.037325105070380726,0.41269841269841273,0.05114519076030959,0.0,0.0,0.7781667974467794,0.872476931119027,strong signal
